date,year,month,day,site,depth,observer,transect,common_name,sizeclass,count,fish_spp,common_family,latin_family,foodweb,a,b,biomass,density,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,threespot_damselfish,5,8,Stegastes_planifrons,damselfish,Pomacentridae,Omnivore,0.02138,2.96,20.0469774,0.133333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,threespot_damselfish,10,3,Stegastes_planifrons,damselfish,Pomacentridae,Omnivore,0.02138,2.96,58.49637524,0.05,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,blueheaded_wrasse,5,2,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,2.620375883,0.033333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,blueheaded_wrasse,10,4,Thalassoma_bifasciatum,wrasse,Labridae,Omnivore,0.011,2.97,41.06318924,0.066666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,fairy_basslet,5,31,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,46.36853385,0.516666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,fairy_basslet,10,-,Gramma_loreto,basslet,Grammatidae,Omnivore,0.01122,3.04,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,blue_chromis,10,8,Chromis_cyanea,chromis,Pomacentridae,Planktivore,0.01479,2.99,115.626708,0.133333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,rock_beauty,10,1,Holocanthus_tricolor,angelfish,Pomacanthidae,Invertivore,0.0331,2.95,29.50040605,0.016666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,redband_parrotfish_initial,5,3,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,5.585507382,0.05,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,redband_parrotfish_initial,10,1,Sparisoma_aurofrenatum,parrotfish,Scaridae,Herbivore,0.0117,3.15,16.52668927,0.016666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,blue_tang,5,2,Acanthurus_coeruleus,surgeonfish,Acanthuridae,Omnivore,0.0324,2.95,7.47371476,0.033333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,bicolor_damselfish,5,5,Stegastes_partitus,damselfish,Pomacentridae,Omnivore,0.01479,3.01,9.393726066,0.083333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,ocean_surgeon,10,1,Acanthurus_tractus,surgeonfish,Acanthuridae,Herbivore,0.0257,2.9,20.41423563,0.016666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,foureye_butterflyfish,10,2,Chaetodon_capistratus,butterflyfish,Chaetodontidae,Invertivore,0.0234,3.19,72.48461777,0.033333333,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,pudding_wife,10,1,Halichoeres_radiatus,wrasse,Labridae,Invertivore,0.01,3.08,12.02264435,0.016666667,,,,,,,,,,,,,,,,
14-Jul-24,2024,July,14,1,88,AC,1,pudding_wife,20,1,Halichoeres_radiatus,wrasse,Labridae,Invertivore,0.01,3.08,101.6652158,0.016666667,,,,,,,,,,,,,,,,
